trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.2899999999999998, 'e': 0.11987757463564722}",20,10,-1.587823105433914,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.2879999999999998, 'e': 0.11748002314293426}",30,16,6.0695829728411965,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.2859999999999998, 'e': 0.11513042268007558}",35,12,-6.940428015881929,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.2839999999999998, 'e': 0.11282781422647406}",20,10,16.726944650420222,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.2819999999999998, 'e': 0.11057125794194458}",25,11,20.711564484241627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.2799999999999998, 'e': 0.10835983278310568}",20,10,-25.84564364063623,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.2779999999999998, 'e': 0.10619263612744358}",25,8,17.19639811822603,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.2759999999999998, 'e': 0.1040687834048947}",20,2,13.103582424266857,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.2739999999999998, 'e': 0.1019874077367968}",20,11,-9.363688017768027,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.2719999999999998, 'e': 0.09994765958206087}",30,8,35.3919057658092,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2699999999999998, 'e': 0.09794870639041964}",30,15,17.96117750677102,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.2679999999999998, 'e': 0.09598973226261125}",20,10,22.185500129553354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.2659999999999998, 'e': 0.09406993761735902}",25,13,25.119253029790872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2639999999999998, 'e': 0.09218853886501184}",30,0,29.08229658151526,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.2619999999999998, 'e': 0.09034476808771161}",20,14,11.214728513495023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2599999999999998, 'e': 0.08853787272595737}",25,11,16.13480685195742,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.2579999999999998, 'e': 0.08676711527143822}",20,9,19.36977921647617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2559999999999998, 'e': 0.08503177296600946}",30,14,31.151482935708092,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2539999999999998, 'e': 0.08333113750668926}",35,18,4.323790760237764,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.2519999999999998, 'e': 0.08166451475655548}",30,5,25.564275722107855,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.24999999999999978, 'e': 0.08003122446142437}",25,18,14.448750640958405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.24799999999999978, 'e': 0.07843059997219588}",20,16,7.438638853563294,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.24599999999999977, 'e': 0.07686198797275196}",25,13,-8.256412007887176,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.24399999999999977, 'e': 0.07532474821329692}",20,6,5.194570288361093,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.24199999999999977, 'e': 0.07381825324903098}",25,13,21.722005194655058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.23999999999999977, 'e': 0.07234188818405035}",25,11,26.43754548438527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.23799999999999977, 'e': 0.07089505042036935}",20,8,13.409675499931762,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.23599999999999977, 'e': 0.06947714941196197}",25,11,21.306342029868908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.23399999999999976, 'e': 0.06808760642372272}",20,10,7.991454816310657,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.23199999999999976, 'e': 0.06672585429524826}",25,11,26.29303083576244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.22999999999999976, 'e': 0.0653913372093433}",25,11,25.392384723569702,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.22799999999999976, 'e': 0.06408351046515644}",20,6,17.954150971665207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.22599999999999976, 'e': 0.0628018402558533}",20,12,13.859352954595938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.22399999999999975, 'e': 0.061545803450736236}",30,11,-29.379715192793274,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
139,False,"{'a': 0.22199999999999975, 'e': 0.060314887381721506}",30,13,23.944325516796205,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.21999999999999975, 'e': 0.05910858963408708}",20,3,28.99703274230061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.21799999999999975, 'e': 0.057926417841405335}",25,3,30.554231529269124,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.21599999999999975, 'e': 0.05676788948457723}",25,15,13.635885296691864,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.21399999999999975, 'e': 0.05563253169488568}",20,0,23.965250714682462,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.21199999999999974, 'e': 0.054519881060987964}",20,16,7.921975446111221,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.20999999999999974, 'e': 0.05342948343976821}",30,15,29.95567207644696,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.20799999999999974, 'e': 0.05236089377097284}",20,16,8.217679513740979,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.20599999999999974, 'e': 0.051313675895553384}",20,12,12.101842569181006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.20399999999999974, 'e': 0.050287402377642315}",25,5,26.16821701267694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.20199999999999974, 'e': 0.04928165433008947}",20,12,14.27393719075367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.19999999999999973, 'e': 0.048296021243487676}",20,13,14.362252545630112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.19799999999999973, 'e': 0.04733010081861792}",20,12,13.333671615561322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.19599999999999973, 'e': 0.046383498802245564}",20,16,8.478795936625275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.19399999999999973, 'e': 0.04545582882620065}",30,13,2.5289317492892343,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
